ensembl_gene_id	IDR_30C_1_pellet_262	IDR_30C_1_SN_244	IDR_30C_1_total_226	IDR_30C_2_pellet_263	IDR_30C_2_SN_245	IDR_30C_2_total_227	IDR_40C_1_pellet_264	IDR_40C_1_SN_246	IDR_40C_1_total_228	IDR_40C_2_pellet_265	IDR_40C_2_SN_247	IDR_40C_2_total_229	IDR_42C_1_pellet_266	IDR_42C_1_SN_248	IDR_42C_1_total_230	IDR_42C_2_pellet_267	IDR_42C_2_SN_249	IDR_42C_2_total_231	WT_30C_1_pellet_250	WT_30C_1_SN_232	WT_30C_1_total_214	WT_30C_2_pellet_251	WT_30C_2_SN_233	WT_30C_2_total_215	WT_40C_1_pellet_252	WT_40C_1_SN_234	WT_40C_1_total_216	WT_40C_2_pellet_253	WT_40C_2_SN_235	WT_40C_2_total_217	WT_42C_1_pellet_254	WT_42C_1_SN_236	WT_42C_1_total_218	WT_42C_2_pellet_255	WT_42C_2_SN_237	WT_42C_2_total_219
YFR050C	769	1470	1421	655	1756	1611	1029	1253	1668	1054	1309	1586	1321	1088	1124	1070	982	1167	500	1696	1456	536	1552	1729	679	1489	1407	825	1448	1859	933	1279	1710	974	1271	1543
YFR051C	1273	539	568	1128	628	713	1128	564	686	981	575	512	997	565	421	1260	544	460	1101	569	1014	1205	528	753	856	440	500	1052	415	1018	1121	376	629	1223	383	615
YFR052C-A	32	81	78	64	82	78	3041	3864	5494	3270	3879	5291	1609	2234	2360	1687	1950	1877	76	100	162	41	84	105	1342	2807	3433	1509	2464	3771	400	554	833	359	316	729
YFR052W	328	453	290	241	419	301	242	278	320	222	344	333	237	277	278	218	324	250	217	532	306	222	456	378	208	351	313	226	388	384	274	440	580	247	256	332
YFR053C	592	438	656	660	708	823	40512	45687	67491	40032	44876	69119	20161	24285	31263	19893	23787	25765	916	1214	1819	573	936	987	20247	36352	37217	22843	33118	42603	5752	6840	8577	5227	4633	8090
YFR054C	22	7	14	25	9	11	32	4	9	32	6	10	42	13	14	70	7	9	20	6	7	27	5	7	25	9	11	30	3	7	43	7	16	39	7	10
YFR055W	2883	3593	4658	2626	4137	4569	2404	1464	2069	2249	1433	2256	5695	3993	4935	5268	3498	4641	1895	3626	3723	2287	4088	4541	1921	1779	1839	2758	1947	2245	5768	3636	4762	6359	3286	5367
YFR056C	94	33	66	85	46	54	267	85	119	245	65	131	643	162	256	702	168	253	57	29	28	100	36	56	224	104	148	313	85	162	485	108	260	562	56	323
YFR057W	0	0	2	0	1	0	0	1	0	0	0	0	2	3	8	8	3	3	0	2	1	2	3	0	1	0	0	2	2	3	15	12	11	9	2	8
YGL001C	949	2004	2443	1007	2151	2702	967	2256	2715	912	2452	3293	1357	2827	3053	763	1934	2619	868	2346	2822	857	2389	2873	741	2858	2412	947	2585	2789	1104	2742	3227	1161	2863	3386
YGL002W	372	290	348	380	326	401	647	303	489	592	356	504	669	234	367	483	147	294	342	319	461	361	308	454	464	329	347	595	269	427	588	154	406	580	122	370
YGL003C	664	359	429	545	397	424	697	212	395	668	218	407	611	122	257	732	150	264	472	399	333	519	349	456	576	255	370	664	266	333	556	121	268	535	58	224
YGL004C	349	392	523	334	488	604	1441	971	1579	1371	1104	1633	1507	718	1149	1449	822	999	299	479	363	360	513	584	983	1042	989	1153	929	1191	1130	492	845	1210	297	851
YGL005C	383	494	547	334	566	591	520	384	608	528	400	682	701	443	550	708	475	485	270	609	354	296	577	567	470	550	484	536	532	635	720	463	745	763	161	688
YGL006W	8754	4059	5091	8955	4392	5394	46203	10650	19839	44266	10710	19453	55644	9163	19134	67449	10748	18232	6807	2917	3228	9428	3867	5049	40653	9780	17882	44976	9812	19689	52735	8084	21103	51186	4030	24659
YGL006W-A	0	0	0	0	0	2	11	6	8	10	7	5	24	12	15	23	8	11	0	2	0	3	2	1	5	3	11	16	1	9	21	7	21	30	4	11
YGL007C-A	11	5	3	16	5	13	50	15	29	44	12	21	70	42	35	93	39	38	8	7	8	6	13	12	29	13	23	46	16	23	79	24	65	132	11	64
YGL007W	69	33	42	71	25	51	278	130	172	231	129	185	483	219	286	429	215	287	46	17	34	57	37	40	207	128	126	277	102	149	528	177	367	580	104	332
YGL008C	165765	85293	113025	152571	89446	105561	107626	52435	71138	100017	49834	73643	142967	35881	49975	171690	34955	58543	171392	54131	114022	188181	68327	129172	102565	39676	71794	117990	52836	99961	165122	35542	95364	158262	32305	98447
YGL009C	14377	14084	20192	14213	17447	20090	15957	13007	17735	15702	12615	18936	42449	9804	18446	51421	9963	17494	11494	19458	21101	11512	17787	22363	13243	14959	15291	16479	14097	17730	35924	9098	19583	36112	7846	18349
YGL010W	79	112	82	68	92	106	299	279	375	274	400	440	242	279	296	200	133	228	77	98	160	80	65	136	251	277	376	298	294	477	210	152	329	216	96	294
YGL011C	527	820	899	439	1217	901	757	1124	1612	672	1230	1679	605	815	1228	538	905	1051	390	1069	701	428	1022	1078	539	1148	1280	599	1395	1690	545	1037	1636	584	791	1147
YGL012W	3369	2380	3538	3723	2574	3765	2822	1576	2440	2682	1849	2759	4418	2287	3144	3422	1776	2999	3987	2344	4093	4284	2540	4120	2825	1969	2367	3286	1946	2758	4754	1837	3513	4911	2234	4007
YGL013C	2012	734	986	1773	896	1064	1938	421	957	1826	459	806	2099	392	715	2954	463	769	1314	919	835	1558	839	1312	1654	540	908	1710	559	1039	1957	443	1227	1974	357	1119
YGL014C-A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YGL014W	1770	752	489	1209	622	421	1309	142	254	1231	161	275	1007	87	173	1206	80	170	960	743	437	1062	632	584	781	175	212	990	187	309	1031	129	344	953	57	293
YGL015C	53	67	57	45	63	57	113	37	77	89	44	76	116	25	53	154	22	61	49	53	52	46	38	81	84	37	56	87	34	71	112	18	73	122	10	65
YGL016W	2917	2624	3415	2933	2947	3582	2280	1227	1632	2265	1245	1804	4709	1006	1604	5421	999	1700	2357	2752	3473	2630	2435	3706	1667	1535	1705	2106	1448	2102	4323	900	2189	4622	681	2371
YGL017W	556	429	550	515	511	663	735	500	716	714	568	665	895	423	399	930	420	496	379	540	605	429	580	629	527	532	484	687	515	646	817	339	461	929	222	496
YGL018C	30	21	18	23	30	16	61	36	57	41	31	40	62	19	39	103	39	36	28	31	16	32	21	22	58	37	36	76	50	48	58	32	66	70	12	42
YGL019W	458	1021	1521	419	1255	1442	474	817	1063	485	846	1226	416	1079	1181	326	788	1015	360	1352	1494	372	1327	1657	399	951	964	487	969	1092	351	1205	1284	372	1389	1234
YGL020C	346	573	618	385	599	683	362	378	605	309	463	702	421	387	582	321	373	589	363	524	468	405	516	617	305	376	464	312	456	586	462	395	771	455	213	712
YGL021W	1394	719	910	1158	903	889	471	137	268	515	180	299	682	214	401	1045	226	309	1269	1279	790	1204	1025	1118	260	152	202	365	152	232	637	267	535	606	122	399
YGL022W	6097	2032	3022	5828	2199	2986	5163	994	1825	4779	1083	1913	5289	618	1467	5798	561	1344	6306	1969	3282	6538	1950	3740	4030	1095	1743	4768	1128	2186	5445	704	2407	5588	788	2250
YGL023C	1453	1148	1392	1321	1520	1502	2412	1075	1590	2535	1048	1372	2348	598	729	3079	725	806	1144	407	1297	1227	372	1470	1388	178	948	1937	291	1225	2134	158	703	2234	69	817
YGL024W	35	59	59	33	60	45	67	34	69	70	39	67	65	16	22	86	20	20	46	25	52	38	15	63	30	15	25	52	8	34	65	7	24	64	2	35
YGL025C	159	94	132	147	127	155	152	57	113	167	73	92	155	62	82	157	51	83	117	96	161	134	105	169	116	63	97	140	73	127	119	60	95	135	46	83
YGL026C	7656	7594	10719	8204	8855	11580	9379	4123	6011	9156	4068	5975	10593	4918	5875	10986	4480	5845	5403	6037	11883	5554	7015	11016	5212	3940	5165	6599	4428	6724	5733	4856	5275	6572	4173	7070
YGL027C	3274	1773	2541	3082	2007	2439	3536	1090	1950	3376	1046	2211	4499	663	1757	5721	814	1701	3636	2014	2206	3874	2023	2904	3998	1177	1985	4382	1323	2207	5275	589	2400	5195	582	2388
YGL028C	567	254	279	431	204	227	172	47	99	152	65	104	254	49	88	290	61	98	498	275	271	470	209	298	115	52	74	152	48	71	268	71	150	224	63	119
YGL029W	126	859	771	128	381	578	31	54	145	15	126	136	58	176	125	73	382	133	88	591	132	102	619	164	31	94	67	30	103	104	107	467	448	129	110	414
YGL030W	1416	5997	3983	1418	3579	5431	1549	843	1522	1308	2930	2260	1618	3189	3053	1323	1005	1977	1254	4674	6849	1287	3796	6351	1497	1412	1296	1988	1633	1846	1264	3260	4795	1112	4134	4230
YGL031C	1168	4245	4321	1099	4871	5241	1033	1804	2462	901	2418	2754	1130	3587	3800	914	2491	3018	1015	5652	6399	1041	5055	6767	856	2493	2393	1033	2951	3362	1155	4355	6949	1166	4367	4772
YGL032C	31	13	13	18	24	16	24	12	8	21	20	12	15	11	16	13	15	9	10	19	19	23	16	20	13	11	11	17	10	15	23	13	18	16	6	15
YGL033W	3	2	4	3	5	7	6	3	6	4	4	2	6	12	9	10	8	9	6	0	8	5	7	3	3	13	6	6	1	4	10	10	24	8	3	12
YGL034C	18	5	5	17	10	5	31	7	19	35	6	11	23	7	12	36	7	5	13	3	5	9	8	5	24	10	8	28	10	12	27	1	10	20	7	6
YGL035C	673	267	323	552	318	299	699	202	306	668	164	277	420	97	127	557	121	137	426	369	281	422	324	347	311	136	158	344	137	183	272	90	186	244	104	124
YGL036W	1704	520	388	1341	504	513	2811	340	559	2634	351	381	1586	150	229	2084	165	235	929	455	470	875	312	415	1472	255	440	1739	236	656	1221	109	380	1157	77	300
YGL037C	825	1497	2151	916	2121	2793	7042	18450	25565	7039	19549	27159	4498	11950	11936	3108	11097	11610	648	1783	2647	685	1912	2418	4705	20827	17711	5921	18373	20154	2976	7889	8504	3077	4483	8833
YGL038C	540	189	302	545	308	360	596	219	323	551	203	352	930	263	382	1095	226	346	509	284	364	555	285	426	555	179	318	644	213	400	1003	183	682	1085	136	575
YGL039W	226	181	285	222	255	307	410	134	309	366	159	339	487	122	317	541	152	257	215	279	306	265	303	501	330	188	343	395	264	377	507	220	581	536	218	460
YGL040C	810	870	1198	741	1146	1246	514	437	652	471	538	748	696	1017	1225	581	799	1041	557	1118	1527	565	1122	1513	438	592	706	505	669	818	648	1097	1324	710	1076	1419
YGL041C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YGL041C-B	13	19	17	10	11	20	11	6	7	11	5	9	8	12	19	19	7	8	4	10	13	5	15	12	8	9	7	14	5	12	8	10	15	21	5	14
YGL041W-A	28	42	41	13	43	41	33	75	118	13	96	104	21	67	78	28	64	48	20	61	39	18	44	37	22	54	69	32	71	99	20	65	72	23	21	64
YGL042C	112	316	361	111	322	328	212	179	262	219	198	277	253	201	276	285	219	215	103	222	244	88	244	346	125	134	240	186	211	307	183	198	316	218	106	279
YGL043W	438	719	1111	386	1142	1152	760	675	1064	737	721	1051	812	655	952	996	907	953	326	728	928	357	826	1290	469	519	790	624	649	1032	608	572	1074	748	312	1093
YGL044C	406	772	999	302	849	925	240	293	435	203	349	500	546	393	625	641	611	590	197	846	420	273	808	780	199	436	351	220	469	495	430	601	643	509	193	738
YGL045W	386	87	117	297	118	136	4019	1299	2174	3563	1234	1822	4619	1178	1864	6265	1250	1691	171	88	120	282	150	161	2138	1189	1469	2424	1303	1922	3582	1171	2024	3361	736	1802
YGL047W	279	555	601	295	582	606	471	584	771	525	744	926	470	471	528	348	398	492	173	529	495	170	487	470	350	611	499	421	540	594	352	338	447	342	292	429
YGL048C	1425	2723	3701	1404	3673	3734	1786	2203	3146	1666	2381	3613	2342	1995	3027	2405	2316	2585	1182	3849	3219	1233	3563	4292	1284	2998	2724	1588	2953	3232	1862	2922	3655	2096	2201	3562
YGL049C	4614	2460	3105	4422	2812	3062	5267	1925	3554	5115	2079	3374	5238	903	1372	8269	1258	1807	3302	2475	2225	3357	2340	3275	3131	1484	2215	3644	1475	2707	5371	747	1972	5488	318	2130
YGL050W	230	331	436	221	391	423	282	147	252	271	175	321	406	130	277	452	186	219	140	451	253	173	432	407	213	224	229	231	235	284	370	197	387	390	135	312
YGL051W	144	31	62	154	48	76	160	37	89	155	61	91	219	50	87	206	43	85	91	43	55	123	43	64	132	41	79	156	38	98	171	34	87	169	23	78
YGL052W	234	67	83	187	76	105	317	118	192	249	134	194	342	119	162	285	73	131	145	60	98	170	81	115	203	70	147	263	82	142	264	47	147	213	25	128
YGL053W	232	147	171	245	180	212	836	485	796	830	613	820	849	375	524	806	327	416	202	126	197	195	148	234	620	470	700	826	582	735	672	248	537	716	131	458
YGL054C	438	969	1020	402	973	1160	461	862	1211	412	1067	1341	552	946	1063	421	623	932	426	690	800	453	745	1186	438	864	924	421	894	1229	594	731	1408	545	297	1242
YGL055W	7622	4962	8263	7083	5114	7069	11490	7282	11560	10773	7474	12202	15408	7910	12008	13330	7646	10968	8248	4401	7821	12224	6995	11268	11316	9074	10928	15331	9681	14207	19556	7839	15702	20523	8241	17332
YGL056C	850	298	305	633	306	293	706	161	223	583	143	222	561	143	187	605	199	187	474	190	277	469	182	330	387	83	167	466	99	222	433	134	277	440	91	243
YGL057C	82	74	81	79	107	111	98	79	125	83	89	90	94	88	78	98	71	76	67	80	132	76	105	147	80	99	103	86	114	139	72	74	72	86	60	86
YGL058W	340	871	939	285	925	872	361	898	1191	325	1021	1299	374	951	1006	330	788	941	251	767	751	254	786	892	297	1051	920	392	1024	1130	298	876	1066	323	564	1061
YGL059W	292	266	334	316	328	391	1104	655	1099	1065	718	1172	1044	281	661	1133	380	564	238	252	272	248	258	362	770	589	753	969	548	767	790	191	542	739	109	495
YGL060W	451	294	467	429	435	524	556	234	410	506	256	417	1069	220	435	1449	209	403	362	452	576	457	435	752	478	241	422	502	271	474	1097	208	645	1046	158	571
YGL061C	55	128	115	55	138	140	58	116	159	56	117	146	110	111	160	158	142	138	54	174	107	58	146	134	63	98	114	71	119	177	163	146	211	141	61	193
YGL062W	18512	10502	11093	16943	12239	11250	9831	1992	3042	9134	1770	3019	7705	670	1430	9581	631	1459	13999	9683	13484	13794	8580	13279	7272	1150	2398	8558	1379	3219	7026	436	2027	6570	325	1733
YGL063C-A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YGL063W	808	298	423	771	338	414	353	32	111	325	29	106	415	70	90	372	81	122	460	76	335	517	109	338	252	12	81	292	8	92	403	18	106	429	21	125
YGL064C	180	80	93	164	72	109	135	32	49	138	47	60	190	48	85	175	46	74	132	89	112	160	96	128	119	38	65	144	35	78	211	44	129	193	27	112
YGL065C	361	208	260	298	257	273	279	183	250	276	180	241	280	161	219	309	171	213	360	273	273	369	232	386	308	166	256	338	198	376	300	198	394	309	178	296
YGL066W	539	354	462	536	384	486	672	310	653	681	381	580	890	253	402	1379	419	444	378	480	220	437	434	423	526	425	507	537	456	660	594	475	594	665	168	575
YGL067W	1340	955	1410	1261	1325	1459	2314	883	1542	2196	964	1593	2455	476	1036	2306	463	981	729	988	1210	836	1067	1518	1180	972	1138	1532	879	1366	1598	429	1131	1745	349	1093
YGL068W	84	299	322	100	282	356	137	74	128	110	116	176	253	201	226	136	101	188	90	302	389	91	314	360	84	141	114	124	121	135	143	294	344	174	226	337
YGL069C	2	0	0	0	1	1	5	4	13	11	4	6	16	5	6	17	4	4	1	0	0	1	3	0	13	5	2	8	5	6	8	4	3	7	3	6
YGL070C	131	410	479	143	382	441	630	371	579	666	414	621	740	357	590	471	310	473	112	368	420	121	416	442	395	361	339	491	332	378	530	298	449	545	139	418
YGL071W	896	159	181	699	174	166	1587	130	278	1344	117	217	1039	77	145	1495	97	170	619	147	131	639	141	222	1239	135	272	1370	146	371	1242	100	386	1144	72	250
YGL072C	7	0	2	2	0	1	11	0	5	9	3	2	5	4	4	9	1	4	3	5	5	4	2	3	6	1	7	5	3	4	7	2	9	3	0	4
YGL073W	869	309	354	722	339	422	1841	428	922	1627	571	789	1171	273	476	1637	251	462	489	272	272	626	256	511	1239	367	709	1293	362	926	964	243	585	977	140	590
YGL074C	25	2	6	25	7	6	24	1	15	28	7	14	25	2	8	39	2	14	13	5	0	18	10	7	25	4	7	28	4	11	29	7	8	26	2	13
YGL075C	382	158	272	374	220	273	1034	241	533	1089	275	574	866	145	362	1075	159	291	242	232	222	275	248	276	598	273	331	733	247	392	670	110	347	658	68	340
YGL076C	1239	2176	2286	1044	2549	2330	1080	867	1336	967	1053	1453	778	1563	1775	736	1217	1445	911	2269	2725	898	2111	3416	927	968	1290	1082	1325	1820	905	1713	3288	790	2223	1932
YGL077C	6810	4488	7136	6276	4960	6902	2235	1181	2022	2093	1270	2377	3263	1517	2305	2935	1174	2230	5645	3440	6635	7957	4855	9255	2337	1367	2060	2681	1460	2612	3441	1145	2810	3765	1241	3173
YGL078C	1999	2478	3363	1689	2291	2718	207	119	217	199	118	265	936	441	1014	1462	1003	998	969	2394	605	1177	2588	2240	120	110	128	186	152	215	981	1466	2090	1097	861	1932
YGL079W	136	98	100	101	107	101	123	68	117	132	67	109	152	54	103	156	45	70	96	90	102	112	83	150	84	48	97	100	53	109	131	47	161	137	26	103
YGL080W	82	156	173	83	159	207	126	330	415	102	373	447	113	222	244	67	161	191	79	156	208	60	142	217	80	315	298	111	321	375	82	186	251	95	102	240
YGL081W	103	79	81	89	78	95	212	87	139	180	101	158	192	37	67	194	48	76	48	51	44	68	49	62	94	56	76	106	59	86	132	25	76	120	21	92
YGL082W	520	614	825	464	811	910	856	917	1365	823	1037	1506	888	621	1047	963	795	928	460	877	665	488	868	944	665	1169	1040	790	1061	1151	822	777	1026	860	465	918
YGL083W	827	268	309	667	290	305	985	317	455	1001	328	549	1469	307	556	1400	268	497	419	229	284	492	214	412	788	327	433	899	291	498	1260	169	619	1224	82	534
YGL084C	1160	559	966	1148	746	983	1611	341	687	1511	374	762	1702	186	424	1529	151	420	1358	579	1077	1442	689	1079	941	383	577	1162	357	671	1378	203	770	1527	187	766
YGL085W	402	384	482	421	418	483	613	341	465	575	349	572	655	232	363	441	200	287	306	350	336	306	377	407	385	336	320	518	314	351	533	178	360	536	65	329
YGL086W	764	919	908	646	300	790	611	147	846	484	602	853	546	88	168	973	514	245	549	1233	102	633	904	326	641	567	551	488	519	788	891	498	730	855	53	840
YGL087C	65	122	86	57	111	95	61	123	187	53	156	157	83	140	111	107	135	127	50	84	89	68	88	126	60	119	145	90	124	210	104	140	212	127	87	182
YGL088W	867	1570	156	420	129	202	1221	69	135	1362	2230	197	996	240	293	1860	182	198	657	136	151	618	157	144	1278	192	86	2041	120	94	720	192	289	238	226	259
YGL089C	115	65	91	113	77	73	97	39	86	93	43	65	112	28	48	157	48	61	81	56	61	84	47	73	94	53	66	103	39	91	131	36	46	113	5	60
YGL090W	486	251	355	408	339	375	437	272	494	478	283	408	590	149	282	844	219	264	299	279	241	336	232	323	367	277	323	410	257	466	614	126	292	586	61	282
YGL091C	430	627	925	389	780	956	571	716	783	619	725	927	536	801	860	393	663	786	342	775	913	382	820	943	465	935	785	687	765	861	459	853	859	470	671	942
YGL092W	6793	3474	4002	5939	3630	4287	3882	1249	1795	3732	1149	1795	5319	961	1491	7014	1069	1664	4171	2883	3918	4440	2934	4810	2486	940	1554	3218	1055	1956	4592	1001	1923	4727	522	2171
YGL093W	1249	879	1099	1200	1071	1251	3479	973	1885	3357	1051	1756	3659	631	1270	5072	891	1345	1015	1165	982	1060	1006	1244	2421	1074	1634	3000	1033	1791	2950	751	1404	2930	238	1527
YGL094C	3386	1229	1590	2937	1304	1568	4012	482	1330	3715	507	1354	3925	363	1229	5522	411	1193	1871	1439	1142	1991	1282	1804	2856	479	1210	3396	468	1434	3785	351	1861	3461	166	1609
YGL095C	920	853	1040	883	965	1105	1052	856	1262	1044	895	1332	1614	593	825	1839	713	909	744	1109	694	800	1031	1185	953	952	926	1138	894	1232	1366	526	1005	1500	243	975
YGL096W	55	17	30	38	22	24	225	127	168	188	149	158	326	197	238	337	169	171	29	10	28	33	28	25	138	120	106	168	131	139	273	143	268	284	59	191
YGL097W	1557	2384	3080	1491	2709	2766	1075	893	1256	1044	943	1362	1874	1722	1918	1890	1763	1864	1185	2978	2488	1217	3067	2992	776	1293	989	956	1240	1316	1940	2429	2476	2092	1876	2573
YGL098W	517	570	666	443	570	574	713	646	980	673	804	1043	683	350	486	678	485	419	355	694	306	403	610	480	418	787	584	541	660	629	549	353	490	600	129	512
YGL099W	1897	1940	2275	1650	1978	2054	236	198	261	224	177	321	628	322	402	853	489	452	1103	1661	1325	1255	1984	2304	181	217	175	255	232	285	662	623	672	709	430	663
YGL100W	705	1330	1507	704	1522	1528	711	957	1281	660	1057	1389	935	1223	1237	736	1104	1112	629	1503	1379	648	1589	1809	498	1091	994	638	1073	1112	936	1091	1293	1068	878	1401
YGL101W	212	393	447	183	413	502	85	116	135	87	105	152	101	160	176	83	113	135	170	597	612	184	500	607	80	149	118	97	122	142	136	215	292	147	146	299
YGL102C	83	311	346	79	313	435	78	71	96	72	110	127	127	173	161	75	109	112	69	302	387	80	282	283	69	165	94	71	149	125	43	235	207	53	315	189
YGL103W	1	3	4	6	10	10	6	2	3	14	5	4	5	6	5	5	1	5	3	3	13	4	6	8	4	8	8	7	3	2	6	5	3	8	2	9
YGL104C	557	340	464	605	420	504	1469	757	1070	1419	767	1157	1140	395	516	812	332	497	517	328	514	591	322	514	1107	645	746	1326	596	895	848	220	406	843	197	507
YGL105W	3094	4809	4763	2836	6243	6092	2313	4548	5771	2207	4620	3732	2872	5258	2908	2510	5695	3521	2319	4106	5923	2170	4767	5820	1482	4256	4149	1988	4801	7253	2701	4794	3901	2830	2660	4998
YGL106W	265	705	842	200	880	961	323	685	918	277	716	974	395	795	774	293	614	716	211	921	966	201	854	942	256	840	748	299	799	980	312	732	856	353	508	929
YGL107C	972	628	1066	956	844	1172	536	262	388	529	228	485	559	221	372	718	260	352	763	853	1102	911	853	1391	489	337	430	560	317	472	598	199	443	676	219	497
YGL108C	17	24	37	19	22	31	28	26	63	35	42	83	43	23	29	61	28	43	15	39	12	19	29	25	40	46	42	37	32	67	40	35	57	39	16	55
YGL109W	47	59	33	35	49	54	70	81	108	65	81	110	64	57	44	67	56	61	28	76	27	35	52	44	62	77	75	75	60	81	67	56	83	58	16	59
YGL110C	883	655	799	739	529	745	1070	470	880	975	540	878	1097	314	525	1710	626	609	657	828	316	709	805	704	1098	670	723	1182	622	960	1382	541	888	1305	156	1025
YGL111W	1473	1731	2507	1237	2067	2287	946	455	839	820	560	916	1079	682	1187	1460	924	1009	742	1575	1132	937	1766	2060	720	515	663	968	528	791	1353	1005	1372	1484	467	1387
YGL112C	871	1005	1251	886	1184	1395	1134	682	946	1053	726	1031	1340	647	931	1534	724	798	712	1268	1312	792	1280	1646	841	796	798	991	764	1021	1334	839	1205	1445	727	1127
YGL113W	672	158	233	618	190	260	778	125	330	708	133	321	488	105	212	724	94	201	645	194	183	662	181	337	672	142	308	727	154	360	609	99	375	615	49	278
YGL114W	3275	1471	1912	3238	1629	2075	2214	497	873	2004	506	892	2914	385	740	2923	349	807	2569	848	1754	2964	1120	2135	1446	283	632	1884	291	715	2395	213	769	2574	174	968
YGL115W	810	1306	1605	644	1574	1713	1412	1004	1532	1323	1053	1763	1777	898	1362	1426	817	1115	487	1366	1557	510	1326	1854	804	1331	1526	927	1403	1692	1504	966	1616	1530	946	1476
YGL116W	1272	859	1283	1136	1140	1203	699	202	383	742	186	480	1096	158	375	1451	204	357	882	984	941	994	1027	1351	356	183	221	445	196	249	682	269	504	748	176	526
YGL117W	424	578	728	437	683	798	1262	1448	2163	1149	1619	2304	668	966	1218	596	928	1059	218	534	534	248	542	579	492	703	780	515	760	848	231	381	545	276	282	513
YGL118C	5	1	0	0	4	0	11	8	13	8	9	10	17	12	22	29	18	20	2	3	2	3	2	4	9	5	5	11	3	6	21	2	20	18	1	17
YGL119W	636	647	867	594	742	876	708	596	861	665	652	945	725	486	683	641	477	595	493	665	782	571	732	961	532	690	701	590	613	725	591	595	789	644	441	763
YGL120C	2473	1756	2541	2017	1989	2159	714	466	617	612	448	752	1064	679	1264	1453	759	942	1176	1721	1679	1531	1922	2958	628	644	820	711	768	1038	1546	1217	2146	1635	1106	1708
YGL121C	38	52	45	23	67	75	73	87	161	67	132	158	72	52	80	64	53	62	15	17	28	20	31	42	35	54	57	37	61	59	28	31	41	30	11	53
YGL122C	995	557	843	896	774	757	865	555	935	852	583	945	493	473	501	680	517	571	545	722	747	743	652	1110	658	591	945	672	663	961	505	502	673	517	430	614
YGL123C-A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YGL123W	16877	26066	35287	15276	29502	36167	9920	9513	12776	9136	10829	14973	10665	21683	22512	7137	15434	19725	13541	30421	41771	13641	30138	43306	7117	14201	14133	9520	15807	17349	8725	25403	27275	8943	29965	28252
YGL124C	1220	498	838	1147	704	797	921	392	612	875	412	694	867	315	584	924	336	505	865	634	535	920	568	785	676	396	502	801	355	533	859	282	583	865	175	620
YGL125W	691	280	210	469	245	227	817	208	266	747	190	221	702	183	227	770	175	205	539	364	301	658	415	333	724	234	289	858	207	295	778	173	296	692	128	284
YGL126W	863	613	925	906	597	928	3414	957	1834	3510	1058	1870	1897	844	1149	1698	777	1133	756	626	968	886	616	835	2686	1011	1182	2893	887	1384	1591	592	833	1499	662	1086
YGL127C	30	12	15	36	13	24	145	47	61	131	32	61	97	41	35	100	45	37	27	10	22	33	21	31	102	49	53	151	42	59	82	30	33	71	21	49
YGL128C	40	12	17	39	12	12	66	24	28	62	26	20	76	46	40	97	47	35	29	15	14	35	24	15	48	32	21	70	28	23	90	46	57	87	27	60
YGL129C	478	398	651	465	584	725	722	338	593	707	353	568	896	332	512	1070	352	476	401	513	589	416	476	787	485	410	503	615	357	618	620	287	625	709	217	606
YGL130W	659	841	1240	659	958	1296	693	672	964	692	652	1016	968	757	1057	965	842	911	494	1044	1129	475	1147	1214	466	887	770	632	776	861	928	783	1128	931	489	1077
YGL131C	1839	443	697	1638	494	668	2274	294	722	2207	314	764	1671	166	568	2612	229	486	1301	655	755	1490	546	901	2073	332	677	1997	281	706	1732	165	754	1608	77	715
YGL132W	30	17	15	35	12	13	47	5	23	43	4	21	23	4	6	52	2	5	25	15	14	26	21	13	47	5	11	28	3	14	33	4	9	40	0	12
YGL133W	2658	1030	1312	2510	1118	1318	5903	859	2244	5535	1041	2260	4773	418	1396	7445	527	1341	1806	1227	889	2275	1153	1415	4224	802	1696	4706	760	1901	4497	372	1750	4257	133	1913
YGL134W	503	229	341	511	326	429	610	186	293	603	194	336	765	104	211	683	122	270	392	334	359	442	312	412	373	177	176	466	155	236	665	119	299	681	74	310
YGL135W	4938	8654	11271	4583	8507	12681	5175	1719	3037	4785	2364	4046	6136	4728	6057	3410	2576	4748	3862	9369	14184	3881	9319	13960	4485	3186	3536	5660	3636	4333	3886	7876	10297	3784	9825	9699
YGL136C	658	425	541	588	540	606	933	376	648	865	474	650	1103	317	437	1192	272	384	493	495	630	532	453	678	692	353	533	854	315	597	985	208	529	1059	135	568
YGL137W	8541	7398	10346	8819	8778	10739	9197	4552	6498	8815	4312	6922	15854	4210	6485	19318	4705	6909	7519	10131	11159	7854	9994	12291	7248	5793	6229	8555	5354	6870	16053	4775	7454	16891	3784	9108
YGL138C	2	2	0	5	0	0	13	1	3	6	2	7	17	13	14	19	9	15	1	2	0	2	5	0	9	4	2	13	4	6	23	8	29	26	4	10
